Name,Types,Abilities,Height,Weight,Base Experience,Flavor Text
bulbasaur,"grass, poison","overgrow, chlorophyll",7,69,64,A strange seed was planted on its back at birth. The plant sprouts and grows with this POKéMON.
ivysaur,"grass, poison","overgrow, chlorophyll",10,130,142,"When the bulb on its back grows large, it appears to lose the ability to stand on its hind legs."
venusaur,"grass, poison","overgrow, chlorophyll",20,1000,263,The plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.
charmander,fire,"blaze, solar-power",6,85,62,"Obviously prefers hot places. When it rains, steam is said to spout from the tip of its tail."
charmeleon,fire,"blaze, solar-power",11,190,142,"When it swings its burning tail, it elevates the temperature to unbearably high levels."
charizard,"fire, flying","blaze, solar-power",17,905,267,Spits fire that is hot enough to melt boulders. Known to cause forest fires unintentionally.
squirtle,water,"torrent, rain-dish",5,90,63,"After birth, its back swells and hardens into a shell. Powerfully sprays foam from its mouth."
wartortle,water,"torrent, rain-dish",10,225,142,"Often hides in water to stalk unwary prey. For swimming fast, it moves its ears to maintain balance."
blastoise,water,"torrent, rain-dish",16,855,265,A brutal POKéMON with pressurized water jets on its shell. They are used for high speed tackles.
caterpie,bug,"shield-dust, run-away",3,29,39,Its short feet are tipped with suction pads that enable it to tirelessly climb slopes and walls.
metapod,bug,shed-skin,7,99,72,"This POKéMON is vulnerable to attack while its shell is soft, exposing its weak and tender body."
butterfree,"bug, flying","compound-eyes, tinted-lens",11,320,198,"In battle, it flaps its wings at high speed to release highly toxic dust into the air."
weedle,"bug, poison","shield-dust, run-away",3,32,39,"Often found in forests, eating leaves. It has a sharp venomous stinger on its head."
kakuna,"bug, poison",shed-skin,6,100,72,"Almost incapable of moving, this POKéMON can only harden its shell to protect itself from predators."
beedrill,"bug, poison","swarm, sniper",10,295,178,It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly.
pidgey,"normal, flying","keen-eye, tangled-feet, big-pecks",3,18,50,A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand.
pidgeotto,"normal, flying","keen-eye, tangled-feet, big-pecks",11,300,122,"Very protective of its sprawling territorial area, this POKéMON will fiercely peck at any intruder."
pidgeot,"normal, flying","keen-eye, tangled-feet, big-pecks",15,395,216,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as MAGIKARP."
rattata,normal,"run-away, guts, hustle",3,35,51,"Bites anything when it attacks. Small and very quick, it is a common sight in many places."
raticate,normal,"run-away, guts, hustle",7,185,145,It uses its whis­ kers to maintain its balance. It apparently slows down if they are cut off.
spearow,"normal, flying","keen-eye, sniper",3,20,52,"It flaps its small wings busily to fly. Using its beak, it searches in grass for prey."
fearow,"normal, flying","keen-eye, sniper",12,380,155,"With its huge and magnificent wings, it can keep aloft without ever having to land for rest."
ekans,poison,"intimidate, shed-skin, unnerve",20,69,58,"Moves silently and stealthily. Eats the eggs of birds, such as PIDGEY and SPEAROW, whole."
arbok,poison,"intimidate, shed-skin, unnerve",35,650,157,It is rumored that the ferocious warning markings on its belly differ from area to area.
pikachu,electric,"static, lightning-rod",4,60,112,"When several of these POKéMON gather, their electricity could build and cause lightning storms."
raichu,electric,"static, lightning-rod",8,300,243,Its long tail serves as a ground to protect itself from its own high-voltage power.
sandshrew,ground,"sand-veil, sand-rush",6,120,60,Burrows deep underground in arid locations far from water. It only emerges to hunt for food.
sandslash,ground,"sand-veil, sand-rush",10,295,158,Curls up into a spiny ball when threatened. It can roll while curled up to attack or escape.
nidoran-f,poison,"poison-point, rivalry, hustle",4,70,55,"Although small, its venomous barbs render this POKéMON dangerous. The female has smaller horns."
nidorina,poison,"poison-point, rivalry, hustle",8,200,128,The female's horn develops slowly. Prefers physical attacks such as clawing and biting.
nidoqueen,"poison, ground","poison-point, rivalry, sheer-force",13,600,253,Its hard scales provide strong protection. It uses its hefty bulk to execute powerful moves.
nidoran-m,poison,"poison-point, rivalry, hustle",5,90,55,"Stiffens its ears to sense danger. The larger its horns, the more powerful its secreted venom."
